id,date,I,name,seq,LAT,LON,Pressure,WND,OWD,replaceName,IsChange
201100,2011-01-01 00:00:00,0,First,0,0,0,0,0,,False,False
201101,2011-04-01 18:00:00,0,(Nameless),1,8.7,111.4,1006,10,0,False,False
201101,2011-04-02 00:00:00,1,(Nameless),2,8.9,111.3,1004,13,0,False,False
201101,2011-04-02 06:00:00,1,(Nameless),3,9.0,111.2,1004,13,0,False,False
201101,2011-04-02 12:00:00,1,(Nameless),4,9.3,111.2,1004,13,0,False,False
201101,2011-04-02 18:00:00,1,(Nameless),5,9.5,111.6,1000,15,0,False,False
201101,2011-04-03 00:00:00,1,(Nameless),6,9.3,111.8,1000,15,0,False,False
201101,2011-04-03 06:00:00,1,(Nameless),7,9.1,111.7,1004,13,0,False,False
201101,2011-04-03 12:00:00,0,(Nameless),8,8.8,111.5,1006,10,0,False,False
201102,2011-04-03 18:00:00,0,(Nameless),1,11.3,133.7,1005,10,0,False,False
201102,2011-04-04 00:00:00,0,(Nameless),2,11.6,134.6,1005,10,0,False,False
201102,2011-04-04 06:00:00,0,(Nameless),3,12.0,135.3,1005,10,0,False,False
201102,2011-04-04 12:00:00,0,(Nameless),4,12.8,136.2,1005,10,0,False,False
201102,2011-04-04 18:00:00,0,(Nameless),5,14.0,137.8,1000,10,0,False,False
201102,2011-04-05 00:00:00,1,(Nameless),6,15.4,139.1,1000,15,0,False,False
201102,2011-04-05 06:00:00,1,(Nameless),7,16.1,141.1,1000,15,0,False,False
201102,2011-04-05 12:00:00,1,(Nameless),8,16.5,143.2,1000,15,0,False,False
201102,2011-04-05 18:00:00,1,(Nameless),9,17.0,145.0,1000,15,0,False,False
201102,2011-04-06 00:00:00,0,(Nameless),10,17.6,146.8,1004,13,0,False,False
201103,2011-05-06 12:00:00,1,Aere,1,11.7,128.2,1002,15,0,False,False
201103,2011-05-06 18:00:00,1,Aere,2,11.9,127.3,1000,15,0,False,False
201103,2011-05-07 00:00:00,1,Aere,3,12.5,126.6,1000,15,0,False,False
201103,2011-05-07 06:00:00,2,Aere,4,12.9,126.0,998,18,0,False,False
201103,2011-05-07 12:00:00,2,Aere,5,13.2,125.3,990,20,0,False,False
201103,2011-05-07 18:00:00,2,Aere,6,13.5,124.7,990,20,0,False,False
